,time,lat,lon,height,tas
110,2024-03-16 12:00:00,32.918007160613975,296.71875,2.0,291.72882
111,2024-04-16 00:00:00,32.918007160613975,296.71875,2.0,292.5978
112,2024-05-16 12:00:00,32.918007160613975,296.71875,2.0,293.6195
113,2024-06-16 00:00:00,32.918007160613975,296.71875,2.0,295.4862
114,2024-07-16 12:00:00,32.918007160613975,296.71875,2.0,297.78464
115,2024-08-16 12:00:00,32.918007160613975,296.71875,2.0,298.85406
116,2024-09-16 00:00:00,32.918007160613975,296.71875,2.0,298.91953
117,2024-10-16 12:00:00,32.918007160613975,296.71875,2.0,297.43787
118,2024-11-16 00:00:00,32.918007160613975,296.71875,2.0,295.06165
119,2024-12-16 12:00:00,32.918007160613975,296.71875,2.0,293.45526
120,2025-01-16 12:00:00,32.918007160613975,296.71875,2.0,291.7546
121,2025-02-15 00:00:00,32.918007160613975,296.71875,2.0,291.31845
122,2025-03-16 12:00:00,32.918007160613975,296.71875,2.0,290.70654
123,2025-04-16 00:00:00,32.918007160613975,296.71875,2.0,291.4766
124,2025-05-16 12:00:00,32.918007160613975,296.71875,2.0,292.89877
125,2025-06-16 00:00:00,32.918007160613975,296.71875,2.0,295.23636
126,2025-07-16 12:00:00,32.918007160613975,296.71875,2.0,297.44763
127,2025-08-16 12:00:00,32.918007160613975,296.71875,2.0,298.93982
128,2025-09-16 00:00:00,32.918007160613975,296.71875,2.0,299.01102
129,2025-10-16 12:00:00,32.918007160613975,296.71875,2.0,297.7236
130,2025-11-16 00:00:00,32.918007160613975,296.71875,2.0,294.44714
131,2025-12-16 12:00:00,32.918007160613975,296.71875,2.0,292.82812
132,2026-01-16 12:00:00,32.918007160613975,296.71875,2.0,292.11252
133,2026-02-15 00:00:00,32.918007160613975,296.71875,2.0,292.193
134,2026-03-16 12:00:00,32.918007160613975,296.71875,2.0,291.50467
135,2026-04-16 00:00:00,32.918007160613975,296.71875,2.0,291.61685
136,2026-05-16 12:00:00,32.918007160613975,296.71875,2.0,293.20786
137,2026-06-16 00:00:00,32.918007160613975,296.71875,2.0,295.20282
138,2026-07-16 12:00:00,32.918007160613975,296.71875,2.0,297.9746
139,2026-08-16 12:00:00,32.918007160613975,296.71875,2.0,299.123
140,2026-09-16 00:00:00,32.918007160613975,296.71875,2.0,299.3029
141,2026-10-16 12:00:00,32.918007160613975,296.71875,2.0,297.35843
142,2026-11-16 00:00:00,32.918007160613975,296.71875,2.0,294.9701
143,2026-12-16 12:00:00,32.918007160613975,296.71875,2.0,293.15744
144,2027-01-16 12:00:00,32.918007160613975,296.71875,2.0,292.48358
145,2027-02-15 00:00:00,32.918007160613975,296.71875,2.0,292.71747
146,2027-03-16 12:00:00,32.918007160613975,296.71875,2.0,291.5537
147,2027-04-16 00:00:00,32.918007160613975,296.71875,2.0,291.9976
148,2027-05-16 12:00:00,32.918007160613975,296.71875,2.0,293.49582
149,2027-06-16 00:00:00,32.918007160613975,296.71875,2.0,295.5512
150,2027-07-16 12:00:00,32.918007160613975,296.71875,2.0,297.60428
151,2027-08-16 12:00:00,32.918007160613975,296.71875,2.0,298.95465
152,2027-09-16 00:00:00,32.918007160613975,296.71875,2.0,299.07895
153,2027-10-16 12:00:00,32.918007160613975,296.71875,2.0,297.47
154,2027-11-16 00:00:00,32.918007160613975,296.71875,2.0,296.0117
155,2027-12-16 12:00:00,32.918007160613975,296.71875,2.0,293.7252
156,2028-01-16 12:00:00,32.918007160613975,296.71875,2.0,293.0743
157,2028-02-15 12:00:00,32.918007160613975,296.71875,2.0,292.23544
158,2028-03-16 12:00:00,32.918007160613975,296.71875,2.0,291.59354
159,2028-04-16 00:00:00,32.918007160613975,296.71875,2.0,292.22443
160,2028-05-16 12:00:00,32.918007160613975,296.71875,2.0,293.43365
161,2028-06-16 00:00:00,32.918007160613975,296.71875,2.0,295.3512
162,2028-07-16 12:00:00,32.918007160613975,296.71875,2.0,297.74463
163,2028-08-16 12:00:00,32.918007160613975,296.71875,2.0,298.9573
164,2028-09-16 00:00:00,32.918007160613975,296.71875,2.0,298.79016
165,2028-10-16 12:00:00,32.918007160613975,296.71875,2.0,297.35367
166,2028-11-16 00:00:00,32.918007160613975,296.71875,2.0,295.4325
167,2028-12-16 12:00:00,32.918007160613975,296.71875,2.0,294.00198
168,2029-01-16 12:00:00,32.918007160613975,296.71875,2.0,292.30228
169,2029-02-15 00:00:00,32.918007160613975,296.71875,2.0,292.17303
170,2029-03-16 12:00:00,32.918007160613975,296.71875,2.0,291.91873
171,2029-04-16 00:00:00,32.918007160613975,296.71875,2.0,292.41287
172,2029-05-16 12:00:00,32.918007160613975,296.71875,2.0,293.92676
173,2029-06-16 00:00:00,32.918007160613975,296.71875,2.0,296.13046
174,2029-07-16 12:00:00,32.918007160613975,296.71875,2.0,297.97043
175,2029-08-16 12:00:00,32.918007160613975,296.71875,2.0,299.40393
176,2029-09-16 00:00:00,32.918007160613975,296.71875,2.0,298.9521
177,2029-10-16 12:00:00,32.918007160613975,296.71875,2.0,297.46118
178,2029-11-16 00:00:00,32.918007160613975,296.71875,2.0,295.1375
179,2029-12-16 12:00:00,32.918007160613975,296.71875,2.0,292.57858
180,2030-01-16 12:00:00,32.918007160613975,296.71875,2.0,291.4401
181,2030-02-15 00:00:00,32.918007160613975,296.71875,2.0,291.90286
182,2030-03-16 12:00:00,32.918007160613975,296.71875,2.0,291.58792
183,2030-04-16 00:00:00,32.918007160613975,296.71875,2.0,292.2183
184,2030-05-16 12:00:00,32.918007160613975,296.71875,2.0,294.0349
185,2030-06-16 00:00:00,32.918007160613975,296.71875,2.0,296.4914
186,2030-07-16 12:00:00,32.918007160613975,296.71875,2.0,298.45673
187,2030-08-16 12:00:00,32.918007160613975,296.71875,2.0,299.90213
188,2030-09-16 00:00:00,32.918007160613975,296.71875,2.0,299.42432
189,2030-10-16 12:00:00,32.918007160613975,296.71875,2.0,297.73642
190,2030-11-16 00:00:00,32.918007160613975,296.71875,2.0,295.31528
191,2030-12-16 12:00:00,32.918007160613975,296.71875,2.0,293.37418
192,2031-01-16 12:00:00,32.918007160613975,296.71875,2.0,292.5421
193,2031-02-15 00:00:00,32.918007160613975,296.71875,2.0,291.9557
194,2031-03-16 12:00:00,32.918007160613975,296.71875,2.0,291.18698
195,2031-04-16 00:00:00,32.918007160613975,296.71875,2.0,291.94275
196,2031-05-16 12:00:00,32.918007160613975,296.71875,2.0,293.01855
197,2031-06-16 00:00:00,32.918007160613975,296.71875,2.0,295.142
198,2031-07-16 12:00:00,32.918007160613975,296.71875,2.0,297.8867
199,2031-08-16 12:00:00,32.918007160613975,296.71875,2.0,299.4279
200,2031-09-16 00:00:00,32.918007160613975,296.71875,2.0,299.2918
201,2031-10-16 12:00:00,32.918007160613975,296.71875,2.0,297.01056
202,2031-11-16 00:00:00,32.918007160613975,296.71875,2.0,294.62012
203,2031-12-16 12:00:00,32.918007160613975,296.71875,2.0,293.32068
204,2032-01-16 12:00:00,32.918007160613975,296.71875,2.0,291.726
205,2032-02-15 12:00:00,32.918007160613975,296.71875,2.0,291.50537
206,2032-03-16 12:00:00,32.918007160613975,296.71875,2.0,291.6485
207,2032-04-16 00:00:00,32.918007160613975,296.71875,2.0,292.2699
208,2032-05-16 12:00:00,32.918007160613975,296.71875,2.0,293.5043
209,2032-06-16 00:00:00,32.918007160613975,296.71875,2.0,295.80383
210,2032-07-16 12:00:00,32.918007160613975,296.71875,2.0,298.1001
211,2032-08-16 12:00:00,32.918007160613975,296.71875,2.0,299.15707
212,2032-09-16 00:00:00,32.918007160613975,296.71875,2.0,299.30292
213,2032-10-16 12:00:00,32.918007160613975,296.71875,2.0,297.06247
214,2032-11-16 00:00:00,32.918007160613975,296.71875,2.0,295.07263
215,2032-12-16 12:00:00,32.918007160613975,296.71875,2.0,293.7214
216,2033-01-16 12:00:00,32.918007160613975,296.71875,2.0,292.75085
217,2033-02-15 00:00:00,32.918007160613975,296.71875,2.0,291.8461
218,2033-03-16 12:00:00,32.918007160613975,296.71875,2.0,291.01382
219,2033-04-16 00:00:00,32.918007160613975,296.71875,2.0,291.4368
220,2033-05-16 12:00:00,32.918007160613975,296.71875,2.0,293.6203
221,2033-06-16 00:00:00,32.918007160613975,296.71875,2.0,296.2719
222,2033-07-16 12:00:00,32.918007160613975,296.71875,2.0,298.4681
223,2033-08-16 12:00:00,32.918007160613975,296.71875,2.0,299.65277
224,2033-09-16 00:00:00,32.918007160613975,296.71875,2.0,298.9307
225,2033-10-16 12:00:00,32.918007160613975,296.71875,2.0,297.5061
226,2033-11-16 00:00:00,32.918007160613975,296.71875,2.0,295.75522
